no,Condition,ConditionSession,Trial,color of s1,color of s2,color of s3,color of s4,color of s5,color of s6,color of s7,color of s8,color of tg1,color of tg2,color of tg3,color of tg4,color of tg5,color of tg6,color of tg7,color of tg8,location 1,location 2,location 3,location 4,location 5,location 6,location 7,location 8,"matching setting (1=yes, 0=no)","response key (1=R, 0=L)",Correct,Response Time,
1,3,13,4,5,2,3,4,8,8,8,8,5,2,3,7,8,8,8,8,10,19,20,15,8,1,14,17,0,0,1,0.705,
1,3,13,5,5,4,1,7,8,8,8,8,5,4,1,3,8,8,8,8,3,17,5,2,19,8,18,1,0,0,1,0.688,
1,3,13,6,7,4,6,1,8,8,8,8,7,4,6,5,8,8,8,8,17,16,12,6,15,11,7,8,0,0,1,0.751,
1,3,13,7,3,6,2,4,8,8,8,8,3,6,2,4,8,8,8,8,19,20,4,5,15,16,7,13,1,1,1,0.748,
1,3,13,8,2,3,6,7,8,8,8,8,2,3,6,7,8,8,8,8,17,7,19,5,13,20,15,16,1,1,1,0.852,
1,3,13,9,2,6,4,3,8,8,8,8,2,6,4,3,8,8,8,8,12,11,9,17,2,1,7,5,1,1,1,0.661,
1,3,13,10,3,2,7,1,8,8,8,8,3,2,7,1,8,8,8,8,10,15,4,9,17,14,19,8,1,1,1,0.511,
1,3,13,11,5,6,7,2,8,8,8,8,5,6,7,4,8,8,8,8,2,18,17,5,1,8,20,11,0,0,1,0.685,
1,3,13,12,7,1,4,5,8,8,8,8,7,1,4,6,8,8,8,8,14,9,6,16,20,7,19,15,0,0,1,0.69,
1,3,13,13,2,3,1,4,8,8,8,8,2,3,1,4,8,8,8,8,6,10,9,16,13,12,4,19,1,1,1,0.494,
1,3,13,14,1,7,6,5,8,8,8,8,1,7,6,5,8,8,8,8,19,12,14,16,6,1,13,20,1,1,1,0.507,
1,3,13,15,7,2,5,6,8,8,8,8,7,2,5,1,8,8,8,8,8,14,4,5,2,7,12,19,0,0,1,0.642,
1,3,13,16,1,4,3,2,8,8,8,8,1,4,3,2,8,8,8,8,19,6,13,10,8,2,3,9,1,1,1,0.614,
1,3,13,17,5,1,2,3,8,8,8,8,5,1,2,7,8,8,8,8,8,13,1,12,19,17,3,11,0,0,1,0.779,
1,3,13,18,2,1,7,5,8,8,8,8,2,1,7,5,8,8,8,8,7,20,15,13,4,3,8,11,1,1,1,0.563,
1,3,13,19,5,3,4,6,8,8,8,8,5,3,4,2,8,8,8,8,13,10,9,4,12,18,11,5,0,1,0,0.682,
1,3,13,20,1,5,6,7,8,8,8,8,1,5,6,7,8,8,8,8,12,19,14,17,10,16,9,1,1,1,1,0.505,
1,3,13,21,7,3,1,2,8,8,8,8,7,3,1,6,8,8,8,8,12,3,4,5,6,7,8,14,0,0,1,0.919,
1,3,13,22,4,2,1,6,8,8,8,8,4,2,1,6,8,8,8,8,8,9,6,11,20,13,5,12,1,1,1,0.565,
1,3,13,23,6,3,5,1,8,8,8,8,6,3,5,4,8,8,8,8,7,17,11,20,2,6,14,3,0,0,1,0.959,
1,3,13,24,3,7,4,6,8,8,8,8,3,7,4,6,8,8,8,8,1,20,4,17,14,2,7,19,1,1,1,1.015,
1,3,13,25,1,5,2,6,8,8,8,8,1,5,2,6,8,8,8,8,13,12,19,5,3,11,14,4,1,1,1,0.464,
1,3,13,26,5,7,6,1,8,8,8,8,5,7,6,3,8,8,8,8,20,4,8,16,19,2,14,7,0,0,1,0.644,
1,3,13,27,1,2,7,4,8,8,8,8,1,2,7,4,8,8,8,8,14,19,5,11,4,17,2,18,1,1,1,0.61,
1,3,13,28,7,6,2,3,8,8,8,8,7,6,2,4,8,8,8,8,3,9,17,2,1,10,7,12,0,0,1,0.636,
1,3,13,29,7,5,3,4,8,8,8,8,7,5,3,6,8,8,8,8,13,18,6,17,5,10,12,3,0,0,1,0.782,
